02/11/2014 00:00:01

Title: gh2
TrendLog: c:\cmdstn\trendlog\gh2\gh2_1.tlg
Data File: c:\cmdstn\trendlog\gh2\gh2_1.tdt

"Date Time","50-AI-102 ppm","50-AI-103 °C","","","","","","","","","","","","","","","","","","",
"18/10/2014 00:04","368.5","16.2","","","","","","","","","","","","","","","","","","",
"18/10/2014 00:19","376.0","16.2","","","","","","","","","","","","","","","","","","",
"18/10/2014 00:34","384.0","16.0","","","","","","","","","","","","","","","","","","",
"18/10/2014 00:49","384.0","16.4","","","","","","","","","","","","","","","","","","",
"18/10/2014 01:04","392.0","16.2","","","","","","","","","","","","","","","","","","",
"18/10/2014 01:19","392.0","16.2","","","","","","","","","","","","","","","","","","",
"18/10/2014 01:34","392.0","16.0","","","","","","","","","","","","","","","","","","",
"18/10/2014 01:49","392.0","15.8","","","","","","","","","","","","","","","","","","",
"18/10/2014 02:04","392.0","15.4","","","","","","","","","","","","","","","","","","",
"18/10/2014 02:19","392.0","15.4","","","","","","","","","","","","","","","","","","",
"18/10/2014 02:34","392.0","15.6","","","","","","","","","","","","","","","","","","",
"18/10/2014 02:49","384.0","15.6","","","","","","","","","","","","","","","","","","",
"18/10/2014 03:04","392.0","15.6","","","","","","","","","","","","","","","","","","",
"18/10/2014 03:19","392.0","15.6","","","","","","","","","","","","","","","","","","",
"18/10/2014 03:34","392.0","15.6","","","","","","","","","","","","","","","","","","",
"18/10/2014 03:49","392.0","15.4","","","","","","","","","","","","","","","","","","",
"18/10/2014 04:04","400.0","15.6","","","","","","","","","","","","","","","","","","",
"18/10/2014 04:19","400.0","15.4","","","","","","","","","","","","","","","","","","",
"18/10/2014 04:34","392.0","15.6","","","","","","","","","","","","","","","","","","",
"18/10/2014 04:49","400.0","15.6","","","","","","","","","","","","","","","","","","",
"18/10/2014 05:04","392.0","15.2","","","","","","","","","","","","","","","","","","",
"18/10/2014 05:19","400.0","16.2","","","","","","","","","","","","","","","","","","",
"18/10/2014 05:34","400.0","16.0","","","","","","","","","","","","","","","","","","",
"18/10/2014 05:49","400.0","15.6","","","","","","","","","","","","","","","","","","",
"18/10/2014 06:04","400.0","15.6","","","","","","","","","","","","","","","","","","",
"18/10/2014 06:19","400.0","15.6","","","","","","","","","","","","","","","","","","",
"18/10/2014 06:34","407.5","15.6","","","","","","","","","","","","","","","","","","",
"18/10/2014 06:49","400.0","15.8","","","","","","","","","","","","","","","","","","",
"18/10/2014 07:04","407.5","16.2","","","","","","","","","","","","","","","","","","",
"18/10/2014 07:19","454.5","19.2","","","","","","","","","","","","","","","","","","",
"18/10/2014 07:34","533.0","20.9","","","","","","","","","","","","","","","","","","",
"18/10/2014 07:49","525.0","21.9","","","","","","","","","","","","","","","","","","",
"18/10/2014 08:04","525.0","22.7","","","","","","","","","","","","","","","","","","",
"18/10/2014 08:19","556.5","22.7","","","","","","","","","","","","","","","","","","",
"18/10/2014 08:34","541.0","22.9","","","","","","","","","","","","","","","","","","",
"18/10/2014 08:49","525.0","23.3","","","","","","","","","","","","","","","","","","",
"18/10/2014 09:04","556.5","23.7","","","","","","","","","","","","","","","","","","",
"18/10/2014 09:19","541.0","24.1","","","","","","","","","","","","","","","","","","",
"18/10/2014 09:34","525.0","23.9","","","","","","","","","","","","","","","","","","",
"18/10/2014 09:49","533.0","24.5","","","","","","","","","","","","","","","","","","",
"18/10/2014 10:04","549.0","24.5","","","","","","","","","","","","","","","","","","",
"18/10/2014 10:19","541.0","24.7","","","","","","","","","","","","","","","","","","",
"18/10/2014 10:34","525.0","25.2","","","","","","","","","","","","","","","","","","",
"18/10/2014 10:49","556.5","25.6","","","","","","","","","","","","","","","","","","",
"18/10/2014 11:04","541.0","25.6","","","","","","","","","","","","","","","","","","",
"18/10/2014 11:19","533.0","25.6","","","","","","","","","","","","","","","","","","",
"18/10/2014 11:34","549.0","26.0","","","","","","","","","","","","","","","","","","",
"18/10/2014 11:49","541.0","26.0","","","","","","","","","","","","","","","","","","",
"18/10/2014 12:04","541.0","25.2","","","","","","","","","","","","","","","","","","",
"18/10/2014 12:19","541.0","24.7","","","","","","","","","","","","","","","","","","",
"18/10/2014 12:34","549.0","25.2","","","","","","","","","","","","","","","","","","",
"18/10/2014 12:49","549.0","25.8","","","","","","","","","","","","","","","","","","",
"18/10/2014 13:04","549.0","27.2","","","","","","","","","","","","","","","","","","",
"18/10/2014 13:19","525.0","26.8","","","","","","","","","","","","","","","","","","",
"18/10/2014 13:34","549.0","28.2","","","","","","","","","","","","","","","","","","",
