plant,acacia,casuarina,eucalyptus,GH,CO2
1,54.8,52.5,52.5,2,1
2,21.5,42.1,47.4,2,1
3,18.9,42.9,39,2,1
4,24.1,50.2,58.3,2,1
5,40.4,48.2,46.2,2,1
6,39.5,38.3,52.9,2,1
7,33.6,37.9,62,2,1
8,30.3,59.3,45.1,2,1
9,26.3,34.1,29.9,2,1
10,17.3,31.6,45.3,2,1
11,21.4,31.3,63.1,2,1
12,19.1,36.5,44.8,2,1
13,25.5,48.9,41.9,3,0
14,29.1,38.3,35.8,3,0
15,19.3,35.9,7.7,3,0
16,41,19.4,32.6,3,0
17,31.4,51.6,40.2,3,0
18,1.2,49.7,35.5,3,0
19,21.3,47.5,54.5,3,0
20,25,34.5,44.8,3,0
21,38.5,40.2,26.6,3,0
22,13.3,41.7,57.5,3,0
23,24.4,18.1,57,3,0
24,20.1,50,61.5,3,0
25,28.1,34.5,38,4,1
26,19.6,39.7,46.7,4,1
27,7.8,46.7,26.7,4,1
28,18.5,35,29.8,4,1
29,20.1,49.6,28.5,4,1
30,28.7,7,52.1,4,1
31,21,35.2,43.4,4,1
32,26.5,44.5,58.1,4,1
33,21.5,44.9,28.2,4,1
34,35.6,53.2,34.7,4,1
35,17.5,38.5,40.7,4,1
36,18.2,36.9,39.6,4,1
37,13.9,24,31.3,5,0
38,43.6,35.5,34.4,5,0
39,23.5,42.3,35.6,5,0
40,25.5,26.8,32.6,5,0
41,17.4,28.9,45.4,5,0
42,33.4,44.8,45.8,5,0
43,21.9,28.1,33.1,5,0
44,30,27.9,37.5,5,0
45,25.1,42,53,5,0
46,22.3,48,50.6,5,0
47,20.8,28.7,32.5,5,0
48,31.6,35.7,39.5,5,0
