plant,species,PAM,time,treatment,CO2
A1,acacia,0.814,pre,recovery ,1
A2,acacia,0.830,pre,control,1
A3,acacia,0.880,pre,flooded,1
A4,acacia,0.848,pre,recovery,1
A5,acacia,0.804,pre,recovery,1
A6,acacia,0.841,pre,control,1
A7,acacia,0.836,pre,control,1
A8,acacia,0.825,pre,recovery,1
A9,acacia,0.789,pre,flooded,1
A10,acacia,0.862,pre,control,1
A11,acacia,0.882,pre,flooded,1
A12,acacia,0.814,pre,flooded,1
A13,acacia,0.785,pre,flooded,0
A14,acacia,0.810,pre,flooded,0
A15,acacia,0.815,pre,control,0
A16,acacia,0.831,pre,recovery,0
A17,acacia,0.819,pre,recovery,0
A18,acacia,NA,pre,recovery,0
A19,acacia,0.805,pre,flooded,0
A20,acacia,0.794,pre,flooded,0
A21,acacia,0.812,pre,control,0
A22,acacia,0.794,pre,control,0
A23,acacia,0.779,pre,recovery,0
A24,acacia,0.832,pre,flooded,0
A25,acacia,0.861,pre,recovery,1
A26,acacia,0.864,pre,control,1
A27,acacia,NA,pre,flooded,1
A28,acacia,0.864,pre,recovery,1
A29,acacia,0.832,pre,control,1
A30,acacia,0.877,pre,control,1
A31,acacia,0.833,pre,recovery,1
A32,acacia,0.807,pre,flooded,1
A33,acacia,0.867,pre,control,1
A34,acacia,0.843,pre,flooded,1
A35,acacia,0.835,pre,recovery,1
A36,acacia,0.825,pre,flooded,1
A37,acacia,0.848,pre,control,0
A38,acacia,0.839,pre,flooded,0
A39,acacia,0.832,pre,control,0
A40,acacia,0.898,pre,recovery,0
A41,acacia,0.873,pre,recovery,0
A42,acacia,0.922,pre,flooded,0
A43,acacia,0.789,pre,flooded,0
A44,acacia,0.861,pre,control,0
A45,acacia,0.816,pre,recovery,0
A46,acacia,0.832,pre,recovery,0
A47,acacia,0.849,pre,control,0
A48,acacia,0.865,pre,flooded,0
C1,cas,0.806,pre,control,1
C2,cas,0.833,pre,recovery,1
C3,cas,0.794,pre,flooded,1
C4,cas,0.781,pre,control,1
C5,cas,0.790,pre,flooded,1
C6,cas,0.778,pre,recovery,1
C7,cas,0.797,pre,flooded,1
C8,cas,0.804,pre,control,1
C9,cas,0.821,pre,control,1
C10,cas,0.853,pre,recovery,1
C11,cas,0.856,pre,recovery,1
C12,cas,0.812,pre,flooded,1
C13,cas,0.819,pre,recovery,0
C14,cas,0.813,pre,control,0
C15,cas,0.816,pre,recovery,0
C16,cas,0.867,pre,control,0
C17,cas,0.821,pre,recovery,0
C18,cas,0.853,pre,recovery,0
C19,cas,0.826,pre,flooded,0
C20,cas,0.778,pre,control,0
C21,cas,0.847,pre,flooded,0
C22,cas,0.847,pre,flooded,0
C23,cas,0.814,pre,flooded,0
C24,cas,0.850,pre,flooded,0
C25,cas,0.792,pre,control,1
C26,cas,0.782,pre,recovery,1
