plant,acacia,casuarina,eucalyptus,GH,CO2
1,0.814,0.806,0.831,2,1
2,0.83,0.833,0.813,2,1
3,0.88,0.794,0.968,2,1
4,0.848,0.781,0.868,2,1
5,0.804,0.79,0.82,2,1
6,0.841,0.778,0.839,2,1
7,0.836,0.797,0.827,2,1
8,0.825,0.804,0.817,2,1
9,0.789,0.821,0.839,2,1
10,0.862,0.853,0.84,2,1
11,0.882,0.856,0.841,2,1
12,0.814,0.812,0.89,2,1
13,0.785,0.819,0.894,3,0
14,0.81,0.813,0.852,3,0
15,0.815,0.816,0.802,3,0
16,0.831,0.867,0.856,3,0
17,0.819,0.821,0.808,3,0
18,NA,0.853,0.813,3,0
19,0.805,0.826,0.851,3,0
20,0.794,0.778,0.879,3,0
21,0.812,0.847,0.849,3,0
22,0.794,0.847,0.916,3,0
23,0.779,0.814,0.891,3,0
24,0.832,0.85,0.854,3,0
25,0.861,0.792,0.85,4,1
26,0.864,0.782,0.847,4,1
27,NA,0.753,0.823,4,1
28,0.864,0.783,0.884,4,1
29,0.832,0.85,0.836,4,1
30,0.877,NA,0.826,4,1
31,0.833,0.827,0.868,4,1
32,0.807,0.799,0.849,4,1
33,0.867,0.831,0.805,4,1
34,0.843,0.769,0.813,4,1
35,0.835,0.822,0.873,4,1
36,0.825,0.794,0.905,4,1
37,0.848,0.858,0.863,5,0
38,0.839,0.808,0.842,5,0
39,0.832,0.849,0.846,5,0
40,0.898,0.832,0.856,5,0
41,0.873,0.888,0.847,5,0
42,0.922,0.807,0.862,5,0
43,0.789,0.823,0.818,5,0
44,0.861,0.798,0.841,5,0
45,0.816,0.814,0.865,5,0
46,0.832,0.848,0.833,5,0
47,0.849,0.874,0.882,5,0
48,0.865,0.835,0.891,5,0
