plant,species,photo,cond,ci,time,treatment,CO2
A15,acacia,6.423564463,0.469492012,354.8810635,recovered,control,A
A16,acacia,16.17828565,0.248700851,269.3758749,recovered,recovery,A
A2,acacia,23.06985723,0.419835044,422.8982994,recovered,control,E
A21,acacia,9.899868712,0.331392178,327.4757965,recovered,control,A
A23,acacia,16.21283468,0.266028064,276.1893895,recovered,recovery,A
A26,acacia,18.67174651,0.334060888,422.1308219,recovered,control,E
A29,acacia,26.20326153,0.47286215,419.5204427,recovered,control,E
A31,acacia,20.84508457,0.526244945,448.3315779,recovered,recovery,E
A35,acacia,31.87727507,0.425676286,389.412689,recovered,recovery,E
A39,acacia,13.34305834,0.304294632,304.0792328,recovered,control,A
A40,acacia,17.64499123,0.328165784,289.4360669,recovered,recovery,A
A44,acacia,23.95718357,0.542331494,301.7803476,recovered,control,A
A45,acacia,18.57713388,0.23560538,249.0174664,recovered,recovery,A
A5,acacia,28.95547579,0.638150838,433.600411,recovered,recovery,E
A6,acacia,9.041186175,0.927970307,496.9535073,recovered,control,E
A8,acacia,18.76809654,0.376813365,431.6903181,recovered,recovery,E
C10,cas,44.45647343,0.74489757,407.2734,recovered,recovery,E
C11,cas,26.35298581,0.4397997,414.3153625,recovered,recovery,E
C13,cas,30.01464209,0.653614956,296.1677792,recovered,recovery,A
C14,cas,23.6336378,0.403202795,277.6464179,recovered,control,A
C16,cas,34.45741254,0.702238254,291.4095078,recovered,control,A
C18,cas,25.81680197,0.561041272,297.7961691,recovered,recovery,A
C26,cas,33.17767185,0.54665721,409.9473253,recovered,recovery,E
C31,cas,37.68998805,0.629941315,409.7441861,recovered,control,E
C33,cas,37.52474421,0.717143541,421.6927458,recovered,recovery,E
C35,cas,49.10252895,0.877861272,417.4532258,recovered,control,E
C41,cas,23.1618874,0.586936665,309.2323798,recovered,control,A
C42,cas,19.96482234,0.412263332,294.5729152,recovered,control,A
C44,cas,26.91813075,0.491186072,285.3385905,recovered,recovery,A
C48,cas,26.8882435,0.562064895,296.5721733,recovered,recovery,A
C8,cas,31.14544251,0.536344833,415.9511615,recovered,control,E
C9,cas,34.48692223,0.585367459,413.4688593,recovered,control,E
E13,euc,23.3674271,0.703010811,293.4788321,recovered,recovery,A
E19,euc,14.14895265,0.300450858,283.8641625,recovered,recovery,A
E2,euc,14.09601086,0.305087354,425.3710072,recovered,control,E
E20,euc,1.416279362,0.020753285,264.9537219,recovered,control,A
E24,euc,12.0129287,0.182210792,255.2181651,recovered,control,A
E25,euc,24.96757915,0.335130169,364.9125823,recovered,recovery,E
E30,euc,21.66524876,0.467120332,414.4561274,recovered,recovery,E
E33,euc,17.81501933,0.141192097,293.7922305,recovered,control,E
E34,euc,18.28981402,0.162954574,314.7039516,recovered,control,E
E39,euc,14.88092014,0.213871988,244.5895548,recovered,control,A
E44,euc,11.4410031,0.132734801,223.2044265,recovered,control,A
E46,euc,16.91378799,0.529353667,304.6389464,recovered,recovery,A
E48,euc,17.53087831,0.562482679,304.4277064,recovered,recovery,A
E5,euc,10.38098629,0.08011286,298.2586707,recovered,control,E
E7,euc,19.54109177,0.293548136,383.4163908,recovered,recovery,E
E8,euc,18.19744281,0.3206156,401.6082726,recovered,recovery,E
