plant,GH_start,species,photo,cond,ci,time,treatment,CO2,Trmmol
A13,3,acacia,21.65726401,0.444325104,292.9615723,end,waterlogged,A,14.09418702
A14,3,acacia,19.52318505,0.392169694,293.4637838,end,waterlogged,A,12.68010052
A3,2,acacia,24.87673274,0.212295687,325.0637039,end,waterlogged,E,7.76294656
A32,4,acacia,13.36758115,0.181659266,396.01943,end,waterlogged,E,7.029335644
A38,5,acacia,12.92513789,0.126001411,208.0625473,end,waterlogged,A,4.852139477
A42,5,acacia,29.49048834,0.489836089,269.2472606,end,waterlogged,A,16.12363376
A9,2,acacia,27.9271053,0.323606739,370.2531433,end,waterlogged,E,11.03368612
C19,3,cas,18.05700983,0.550014083,320.7389885,end,waterlogged,A,18.11139357
C22,3,cas,22.76196526,0.673487403,318.6433807,end,waterlogged,A,20.37391933
C27,4,cas,29.43252349,0.587841747,428.2157784,end,waterlogged,E,21.36709558
C3,2,cas,31.26372092,0.480705847,407.6623728,end,waterlogged,E,16.61132187
C34,4,cas,36.8438701,0.562468371,401.5428503,end,waterlogged,E,20.06841524
C39,5,cas,31.36141211,0.632998547,287.8046457,end,waterlogged,A,21.05486032
C40,5,cas,34.33798525,0.718967619,289.4412961,end,waterlogged,A,23.86516583
C7,2,cas,36.57961065,0.651859852,418.0823571,end,waterlogged,E,20.51945771
E12,2,euc,25.82112443,0.459859545,393.2037858,end,waterlogged,E,9.257299048
E22,3,euc,17.24921378,0.400079364,284.2858371,end,waterlogged,A,9.118852767
E23,3,euc,14.8581686,0.359285099,293.385127,end,waterlogged,A,8.2519229
E26,4,euc,14.50660125,0.25367579,407.1965965,end,waterlogged,E,7.005355547
E28,4,euc,15.70945922,0.153215314,332.6954199,end,waterlogged,E,4.940249502
E40,5,euc,15.95697489,0.328252757,276.3012705,end,waterlogged,A,8.373696388
E47,5,euc,13.76327187,0.194241158,244.335335,end,waterlogged,A,5.842252844
E6,2,euc,17.51169073,0.264880819,388.9991549,end,waterlogged,E,6.824408049
A15,3,acacia,6.423564463,0.469492012,354.8810635,recovered,control,A,14.60820575
A16,3,acacia,16.17828565,0.248700851,269.3758749,recovered,recovery,A,8.019181186
A2,2,acacia,23.06985723,0.419835044,422.8982994,recovered,control,E,14.75201724
A21,3,acacia,9.899868712,0.331392178,327.4757965,recovered,control,A,11.05352969
A23,3,acacia,16.21283468,0.266028064,276.1893895,recovered,recovery,A,8.99953788
A26,4,acacia,18.67174651,0.334060888,422.1308219,recovered,control,E,12.62616022
A29,4,acacia,26.20326153,0.47286215,419.5204427,recovered,control,E,17.16215424
A31,4,acacia,20.84508457,0.526244945,448.3315779,recovered,recovery,E,17.40549883
A35,4,acacia,31.87727507,0.425676286,389.412689,recovered,recovery,E,14.65494287
A39,5,acacia,13.34305834,0.304294632,304.0792328,recovered,control,A,10.45588377
A40,5,acacia,17.64499123,0.328165784,289.4360669,recovered,recovery,A,10.10038341
A44,5,acacia,23.95718357,0.542331494,301.7803476,recovered,control,A,17.39455084
A45,5,acacia,18.57713388,0.23560538,249.0174664,recovered,recovery,A,7.409528829
A5,2,acacia,28.95547579,0.638150838,433.600411,recovered,recovery,E,21.93501407
A6,2,acacia,9.041186175,0.927970307,496.9535073,recovered,control,E,30.9230492
A8,2,acacia,18.76809654,0.376813365,431.6903181,recovered,recovery,E,13.18356479
C10,2,cas,44.45647343,0.74489757,407.2734,recovered,recovery,E,26.3061418
C11,2,cas,26.35298581,0.4397997,414.3153625,recovered,recovery,E,15.59390829
C13,3,cas,30.01464209,0.653614956,296.1677792,recovered,recovery,A,19.83906736
C14,3,cas,23.6336378,0.403202795,277.6464179,recovered,control,A,13.79065838
C16,3,cas,34.45741254,0.702238254,291.4095078,recovered,control,A,22.45422047
C18,3,cas,25.81680197,0.561041272,297.7961691,recovered,recovery,A,17.15082389
C26,4,cas,33.17767185,0.54665721,409.9473253,recovered,recovery,E,19.80701884
C31,4,cas,37.68998805,0.629941315,409.7441861,recovered,control,E,21.27605684
C33,4,cas,37.52474421,0.717143541,421.6927458,recovered,recovery,E,24.39495549
C35,4,cas,49.10252895,0.877861272,417.4532258,recovered,control,E,28.69889646
C41,5,cas,23.1618874,0.586936665,309.2323798,recovered,control,A,18.94881902
C42,5,cas,19.96482234,0.412263332,294.5729152,recovered,control,A,13.06312371
C44,5,cas,26.91813075,0.491186072,285.3385905,recovered,recovery,A,14.31580849
C48,5,cas,26.8882435,0.562064895,296.5721733,recovered,recovery,A,15.9377733
C8,2,cas,31.14544251,0.536344833,415.9511615,recovered,control,E,19.6205533
C9,2,cas,34.48692223,0.585367459,413.4688593,recovered,control,E,20.4237268
E13,3,euc,23.3674271,0.703010811,293.4788321,recovered,recovery,A,10.66084437
E19,3,euc,14.14895265,0.300450858,283.8641625,recovered,recovery,A,7.011176828
E2,2,euc,14.09601086,0.305087354,425.3710072,recovered,control,E,7.912763894
E20,3,euc,1.416279362,0.020753285,264.9537219,recovered,control,A,0.917842182
E24,3,euc,12.0129287,0.182210792,255.2181651,recovered,control,A,5.628523192
E25,4,euc,24.96757915,0.335130169,364.9125823,recovered,recovery,E,7.899273304
E30,4,euc,21.66524876,0.467120332,414.4561274,recovered,recovery,E,9.898747691
E33,4,euc,17.81501933,0.141192097,293.7922305,recovered,control,E,4.41925738
E34,4,euc,18.28981402,0.162954574,314.7039516,recovered,control,E,5.047979106
E39,5,euc,14.88092014,0.213871988,244.5895548,recovered,control,A,6.597532764
E44,5,euc,11.4410031,0.132734801,223.2044265,recovered,control,A,4.643066578
E46,5,euc,16.91378799,0.529353667,304.6389464,recovered,recovery,A,9.443485705
E48,5,euc,17.53087831,0.562482679,304.4277064,recovered,recovery,A,10.1034825
E5,2,euc,10.38098629,0.08011286,298.2586707,recovered,control,E,2.891636501
E7,2,euc,19.54109177,0.293548136,383.4163908,recovered,recovery,E,8.125879965
E8,2,euc,18.19744281,0.3206156,401.6082726,recovered,recovery,E,8.382192716
