"","plant","species","treatment","CO2","photo","cond","ci","time","shootLength","dryRootBiomass","dryShootBiomass","RMF","SLA","LDMC","fineRootDMC","rootFineProportion"
"1","A13","acacia","flooded","A",21.65726401,0.444325104,292.9615723,"end",71,1.026,4.18,0.197080292,27.60969977,0.324095458,0.1623439,0.329434698
"2","A14","acacia","flooded","A",19.52318505,0.392169694,293.4637838,"end",31.5,1.367,6.965,0.164066251,26.8006795,0.392978482,0.345720721,0.673738113
"3","A15","acacia","control","A",6.423564463,0.469492012,354.8810635,"recovered",22.5,2.82,5.041,0.358732986,23.96156745,0.220045215,0.114351497,0.317021277
"4","A16","acacia","recovery","A",16.17828565,0.248700851,269.3758749,"recovered",64.5,4.501,11.264,0.285505867,26.12682091,0.420736932,0.1457936,0.152854921
"5","A2","acacia","control","E",23.06985723,0.419835044,422.8982994,"recovered",24.5,6.438,9.304,0.408969635,29.57634902,0.420206659,0.171956698,0.362690276
"6","A21","acacia","control","A",9.899868712,0.331392178,327.4757965,"recovered",39,7.541,14.246,0.346123835,26.40191388,0.437001595,0.125302741,0.260708129
"7","A23","acacia","recovery","A",16.21283468,0.266028064,276.1893895,"recovered",68.5,3.951,7.636,0.340985587,28.7635468,0.371921182,0.14300121,0.179448241
"8","A26","acacia","control","E",18.67174651,0.334060888,422.1308219,"recovered",39.5,4.308,6.829,0.386818712,24.38615023,0.429577465,0.21453246,0.418059424
"9","A29","acacia","control","E",26.20326153,0.47286215,419.5204427,"recovered",38,9.572,11.537,0.453455872,26.68007149,0.363717605,0.213835577,0.467927288
"10","A3","acacia","flooded","E",24.87673274,0.212295687,325.0637039,"end",18.5,0.758,3.92,0.162035058,23.552,0.3792,0.133333333,0.213720317
"11","A31","acacia","recovery","E",20.84508457,0.526244945,448.3315779,"recovered",34,4.42,9.179,0.325023899,26.97347894,0.446957878,0.096509783,0.165158371
"12","A32","acacia","flooded","E",13.36758115,0.181659266,396.01943,"end",29.5,2.914,9.524,0.234282039,26.05532787,0.43442623,0.136637332,0.303706246
"13","A35","acacia","recovery","E",31.87727507,0.425676286,389.412689,"recovered",20,3.871,6.645,0.368105744,28.49635036,0.419708029,0.134054487,0.432188065
"14","A38","acacia","flooded","A",12.92513789,0.126001411,208.0625473,"end",44,1.79,6.628,0.212639582,25.56083803,0.35455278,0.11768617,0.296648045
"15","A39","acacia","control","A",13.34305834,0.304294632,304.0792328,"recovered",60,9.658,3.519,0.732943766,26.92,0.448484848,0.194651371,0.541105819
"16","A40","acacia","recovery","A",17.64499123,0.328165784,289.4360669,"recovered",37,4.291,11.129,0.278274968,30.42038217,0.373673036,0.120989648,0.38405966
"17","A42","acacia","flooded","A",29.49048834,0.489836089,269.2472606,"end",52.5,1.234,5.284,0.189321878,22.05703422,0.353612167,0.1640625,0.306320908
